Unnamed: 0,name,mapped_data
40290,jharkhand latehar india,",Latehar,Jharkhand,India"
40291,karnataka bangalore rural india,",Bangalore Rural,Karnataka,India"
40292,odisha nayagarh district india,",Nayagarh District,Odisha,India"
40293,sikkim west district india,",West District,Sikkim,India"
40294,kashmir jammu india,",Jammu,Kashmir,India"
40295,uttar pradesh kanpur india,",Kanpur,Uttar Pradesh,India"
40296,uttar pradesh gonda india,",Gonda,Uttar Pradesh,India"
40297,karnataka dharwad india,",Dharwad,Karnataka,India"
40298,bihar bhagalpur india,",Bhagalpur,Bihar,India"
40299,bihar rohtas india,",Rohtas,Bihar,India"
40300,madhya pradesh narsimhapur india,",Narsimhapur,Madhya Pradesh,India"
40301,haryana mahendragarh india,",Mahendragarh,Haryana,India"
40302,chhattisgarh uttar bastar kanker india,",Uttar Bastar Kanker,Chhattisgarh,India"
40303,haryana ambala india,",Ambala,Haryana,India"
40304,uttar pradesh bahraich india,",Bahraich,Uttar Pradesh,India"
40305,nct west delhi india,",West Delhi,NCT,India"
40306,maharashtra nanded india,",Nanded,Maharashtra,India"
40307,assam dibrugarh india,",Dibrugarh,Assam,India"
40308,sikkim south district india,",South District,Sikkim,India"
40309,rajasthan bundi india,",Bundi,Rajasthan,India"
40310,madhya pradesh mandla india,",Mandla,Madhya Pradesh,India"
40311,uttar pradesh lucknow district india,",Lucknow District,Uttar Pradesh,India"
40312,kerala kozhikode india,",Kozhikode,Kerala,India"
40313,bihar muzaffarpur india,",Muzaffarpur,Bihar,India"
40314,jharkhand purba singhbhum india,",Purba Singhbhum,Jharkhand,India"
40315,madhya pradesh katni india,",Katni,Madhya Pradesh,India"
40316,west bengal murshidabad india,",Murshidabad,West Bengal,India"
40317,bihar madhepura india,",Madhepura,Bihar,India"
40318,kerala idukki india,",Idukki,Kerala,India"
40319,bihar munger india,",Munger,Bihar,India"
40320,madhya pradesh ashoknagar india,",Ashoknagar,Madhya Pradesh,India"
40321,punjab muktsar india,",Muktsar,Punjab,India"
40322,uttar pradesh mau india,",Mau,Uttar Pradesh,India"
40323,uttar pradesh chandauli district india,",Chandauli District,Uttar Pradesh,India"
40324,maharashtra amravati division india,",Amravati Division,Maharashtra,India"
40325,nagaland mon india,",Mon,Nagaland,India"
40326,nagaland mokokchung india,",Mokokchung,Nagaland,India"
40327,manipur bishnupur india,",Bishnupur,Manipur,India"
40328,punjab moga india,",Moga,Punjab,India"
40329,gujarat sabar kantha india,",Sabar Kantha,Gujarat,India"
40330,uttar pradesh mirzapur india,",Mirzapur,Uttar Pradesh,India"
40331,uttar pradesh sant kabir nagar india,",Sant Kabir Nagar,Uttar Pradesh,India"
