Unnamed: 0,name,mapped_data
15709,neshoba county mississippi,",Neshoba County,Mississippi,United States"
15710,tate county mississippi,",Tate County,Mississippi,United States"
15711,covington county mississippi,",Covington County,Mississippi,United States"
15712,lauderdale county mississippi,",Lauderdale County,Mississippi,United States"
15713,marion county mississippi,",Marion County,Mississippi,United States"
15714,newton county mississippi,",Newton County,Mississippi,United States"
15715,alcorn county mississippi,",Alcorn County,Mississippi,United States"
15716,copiah county mississippi,",Copiah County,Mississippi,United States"
15717,kemper county mississippi,",Kemper County,Mississippi,United States"
15718,sunflower county mississippi,",Sunflower County,Mississippi,United States"
15719,holmes county mississippi,",Holmes County,Mississippi,United States"
15720,jones county mississippi,",Jones County,Mississippi,United States"
15721,jackson county mississippi,",Jackson County,Mississippi,United States"
15722,webster county mississippi,",Webster County,Mississippi,United States"
15723,jefferson county mississippi,",Jefferson County,Mississippi,United States"
15724,scott county mississippi,",Scott County,Mississippi,United States"
15725,itawamba county mississippi,",Itawamba County,Mississippi,United States"
15726,forrest county mississippi,",Forrest County,Mississippi,United States"
15727,washington county mississippi,",Washington County,Mississippi,United States"
15728,leflore county mississippi,",Leflore County,Mississippi,United States"
15729,grenada county mississippi,",Grenada County,Mississippi,United States"
15730,de soto county mississippi,",De Soto County,Mississippi,United States"
15731,chickasaw county mississippi,",Chickasaw County,Mississippi,United States"
15732,attala county mississippi,",Attala County,Mississippi,United States"
15733,quitman county mississippi,",Quitman County,Mississippi,United States"
15734,greene county mississippi,",Greene County,Mississippi,United States"
15735,amite county mississippi,",Amite County,Mississippi,United States"
15736,winston county mississippi,",Winston County,Mississippi,United States"
15737,george county mississippi,",George County,Mississippi,United States"
15738,simpson county mississippi,",Simpson County,Mississippi,United States"
15739,pike county mississippi,",Pike County,Mississippi,United States"
15740,issaquena county mississippi,",Issaquena County,Mississippi,United States"
15741,lawrence county mississippi,",Lawrence County,Mississippi,United States"
15742,adams county mississippi,",Adams County,Mississippi,United States"
15743,union county mississippi,",Union County,Mississippi,United States"
15744,perry county mississippi,",Perry County,Mississippi,United States"
15745,tunica county mississippi,",Tunica County,Mississippi,United States"
15746,lafayette county mississippi,",Lafayette County,Mississippi,United States"
15747,pontotoc county mississippi,",Pontotoc County,Mississippi,United States"
15748,claiborne county mississippi,",Claiborne County,Mississippi,United States"
15749,jefferson davis county mississippi,",Jefferson Davis County,Mississippi,United States"
15750,clarke county mississippi,",Clarke County,Mississippi,United States"
15751,smith county mississippi,",Smith County,Mississippi,United States"
15752,tippah county mississippi,",Tippah County,Mississippi,United States"
15753,sharkey county mississippi,",Sharkey County,Mississippi,United States"
15754,oktibbeha county mississippi,",Oktibbeha County,Mississippi,United States"
15755,walthall county mississippi,",Walthall County,Mississippi,United States"
15756,yalobusha county mississippi,",Yalobusha County,Mississippi,United States"
15757,clay county mississippi,",Clay County,Mississippi,United States"
15758,stone county mississippi,",Stone County,Mississippi,United States"
15759,montgomery county mississippi,",Montgomery County,Mississippi,United States"
15760,yazoo county mississippi,",Yazoo County,Mississippi,United States"
15761,moore county north carolina,",Moore County,North Carolina,United States"
15762,davie county north carolina,",Davie County,North Carolina,United States"
15763,hertford county north carolina,",Hertford County,North Carolina,United States"
15764,stanly county north carolina,",Stanly County,North Carolina,United States"
15765,cherokee county north carolina,",Cherokee County,North Carolina,United States"
15766,harnett county north carolina,",Harnett County,North Carolina,United States"
15767,wake county north carolina,",Wake County,North Carolina,United States"
15768,randolph county north carolina,",Randolph County,North Carolina,United States"
15769,johnston county north carolina,",Johnston County,North Carolina,United States"
15770,buncombe county north carolina,",Buncombe County,North Carolina,United States"
15771,carteret county north carolina,",Carteret County,North Carolina,United States"
15772,pitt county north carolina,",Pitt County,North Carolina,United States"
15773,mitchell county north carolina,",Mitchell County,North Carolina,United States"
15774,henderson county north carolina,",Henderson County,North Carolina,United States"
15775,avery county north carolina,",Avery County,North Carolina,United States"
15776,pamlico county north carolina,",Pamlico County,North Carolina,United States"
15777,new hanover county north carolina,",New Hanover County,North Carolina,United States"
15778,beaufort county north carolina,",Beaufort County,North Carolina,United States"
15779,gaston county north carolina,",Gaston County,North Carolina,United States"
15780,brunswick county north carolina,",Brunswick County,North Carolina,United States"
15781,alexander county north carolina,",Alexander County,North Carolina,United States"
15782,duplin county north carolina,",Duplin County,North Carolina,United States"
15783,montgomery county north carolina,",Montgomery County,North Carolina,United States"
15784,bladen county north carolina,",Bladen County,North Carolina,United States"
15785,watauga county north carolina,",Watauga County,North Carolina,United States"
15786,cleveland county north carolina,",Cleveland County,North Carolina,United States"
15787,yadkin county north carolina,",Yadkin County,North Carolina,United States"
15788,transylvania county north carolina,",Transylvania County,North Carolina,United States"
15789,craven county north carolina,",Craven County,North Carolina,United States"
15790,lee county north carolina,",Lee County,North Carolina,United States"
15791,wayne county north carolina,",Wayne County,North Carolina,United States"
15792,columbus county north carolina,",Columbus County,North Carolina,United States"
15793,swain county north carolina,",Swain County,North Carolina,United States"
15794,pender county north carolina,",Pender County,North Carolina,United States"
15795,alamance county north carolina,",Alamance County,North Carolina,United States"
15796,anson county north carolina,",Anson County,North Carolina,United States"
15797,yancey county north carolina,",Yancey County,North Carolina,United States"
15798,granville county north carolina,",Granville County,North Carolina,United States"
15799,dare county north carolina,",Dare County,North Carolina,United States"
15800,caldwell county north carolina,",Caldwell County,North Carolina,United States"
15801,camden county north carolina,",Camden County,North Carolina,United States"
15802,haywood county north carolina,",Haywood County,North Carolina,United States"
15803,orange county north carolina,",Orange County,North Carolina,United States"
15804,mecklenburg county north carolina,",Mecklenburg County,North Carolina,United States"
15805,rowan county north carolina,",Rowan County,North Carolina,United States"
15806,catawba county north carolina,",Catawba County,North Carolina,United States"
15807,forsyth county north carolina,",Forsyth County,North Carolina,United States"
15808,sampson county north carolina,",Sampson County,North Carolina,United States"
15809,tyrrell county north carolina,",Tyrrell County,North Carolina,United States"
15810,polk county north carolina,",Polk County,North Carolina,United States"
15811,cabarrus county north carolina,",Cabarrus County,North Carolina,United States"
15812,burke county north carolina,",Burke County,North Carolina,United States"
15813,richmond county north carolina,",Richmond County,North Carolina,United States"
15814,wilkes county north carolina,",Wilkes County,North Carolina,United States"
15815,jackson county north carolina,",Jackson County,North Carolina,United States"
15816,currituck county north carolina,",Currituck County,North Carolina,United States"
15817,stokes county north carolina,",Stokes County,North Carolina,United States"
15818,davidson county north carolina,",Davidson County,North Carolina,United States"
15819,lincoln county north carolina,",Lincoln County,North Carolina,United States"
15820,surry county north carolina,",Surry County,North Carolina,United States"
15821,durham county north carolina,",Durham County,North Carolina,United States"
15822,cumberland county north carolina,",Cumberland County,North Carolina,United States"
15823,rockingham county north carolina,",Rockingham County,North Carolina,United States"
15824,chowan county north carolina,",Chowan County,North Carolina,United States"
15825,pasquotank county north carolina,",Pasquotank County,North Carolina,United States"
15826,wilson county north carolina,",Wilson County,North Carolina,United States"
15827,halifax county north carolina,",Halifax County,North Carolina,United States"
15828,robeson county north carolina,",Robeson County,North Carolina,United States"
15829,union county north carolina,",Union County,North Carolina,United States"
15830,chatham county north carolina,",Chatham County,North Carolina,United States"
15831,rutherford county north carolina,",Rutherford County,North Carolina,United States"
15832,guilford county north carolina,",Guilford County,North Carolina,United States"
15833,macon county north carolina,",Macon County,North Carolina,United States"
15834,franklin county north carolina,",Franklin County,North Carolina,United States"
15835,northampton county north carolina,",Northampton County,North Carolina,United States"
15836,gates county north carolina,",Gates County,North Carolina,United States"
15837,onslow county north carolina,",Onslow County,North Carolina,United States"
15838,clay county north carolina,",Clay County,North Carolina,United States"
15839,vance county north carolina,",Vance County,North Carolina,United States"
15840,perquimans county north carolina,",Perquimans County,North Carolina,United States"
15841,ashe county north carolina,",Ashe County,North Carolina,United States"
15842,lenoir county north carolina,",Lenoir County,North Carolina,United States"
15843,scotland county north carolina,",Scotland County,North Carolina,United States"
15844,mcdowell county north carolina,",McDowell County,North Carolina,United States"
15845,madison county north carolina,",Madison County,North Carolina,United States"
15846,greene county north carolina,",Greene County,North Carolina,United States"
15847,jones county north carolina,",Jones County,North Carolina,United States"
15848,iredell county north carolina,",Iredell County,North Carolina,United States"
15849,nash county north carolina,",Nash County,North Carolina,United States"
15850,warren county north carolina,",Warren County,North Carolina,United States"
15851,edgecombe county north carolina,",Edgecombe County,North Carolina,United States"
15852,washington county north carolina,",Washington County,North Carolina,United States"
15853,hoke county north carolina,",Hoke County,North Carolina,United States"
15854,graham county north carolina,",Graham County,North Carolina,United States"
15855,martin county north carolina,",Martin County,North Carolina,United States"
15856,person county north carolina,",Person County,North Carolina,United States"
15857,alleghany county north carolina,",Alleghany County,North Carolina,United States"
15858,hyde county north carolina,",Hyde County,North Carolina,United States"
15859,bertie county north carolina,",Bertie County,North Carolina,United States"
15860,caswell county north carolina,",Caswell County,North Carolina,United States"
15861,atlantic county new jersey,",Atlantic County,New Jersey,United States"
