Unnamed: 0,name,mapped_data
3610,rowville,"Rowville,Knox,Victoria,Australia"
3611,rosebud,"Rosebud,Mornington Peninsula,Victoria,Australia"
3612,rosebery,"Rosebery,West Coast,Tasmania,Australia"
3613,rosanna,"Rosanna, ,Victoria,Australia"
3614,rokeby,"Rokeby,Clarence,Tasmania,Australia"
3615,rocklea,"Rocklea,Brisbane,Queensland,Australia"
3616,rockhampton,"Rockhampton,Rockhampton,Queensland,Australia"
3617,rockbank,"Rockbank,Melton,Victoria,Australia"
3618,riverstone,"Riverstone,Blacktown,New South Wales,Australia"
3619,ripponlea,"Ripponlea, ,Victoria,Australia"
3620,ringwood east,"Ringwood East,Maroondah,Victoria,Australia"
3621,rhodes,"Rhodes,Canada Bay,New South Wales,Australia"
3622,revesby,"Revesby,Bankstown,New South Wales,Australia"
3623,reservoir,"Reservoir,Darebin,Victoria,Australia"
3624,research,"Research,Nillumbik,Victoria,Australia"
3625,renmark west,"Renmark West,Renmark Paringa,South Australia,Australia"
3626,renmark,"Renmark,Renmark Paringa,South Australia,Australia"
3627,regents park,"Regents Park,Bankstown,New South Wales,Australia"
3628,redlynch,"Redlynch,Cairns,Queensland,Australia"
3629,redland bay,"Redland Bay,Redland,Queensland,Australia"
3630,redhead,"Redhead,Lake Macquarie Shire,New South Wales,Australia"
3631,redfern,"Redfern,City of Sydney,New South Wales,Australia"
3632,redbank,"Redbank,Ipswich,Queensland,Australia"
3633,raworth,"Raworth,Maitland Municipality,New South Wales,Australia"
3634,ravenshoe,"Ravenshoe,Tablelands,Queensland,Australia"
3635,quirindi,"Quirindi,Liverpool Plains,New South Wales,Australia"
3636,queenscliff,"Queenscliff,Queenscliffe,Victoria,Australia"
3637,queanbeyan,"Queanbeyan,Queanbeyan,New South Wales,Australia"
3638,quakers hill,"Quakers Hill,Blacktown,New South Wales,Australia"
3639,pymble,"Pymble,City of Sydney,New South Wales,Australia"
3640,proserpine,"Proserpine,Whitsunday,Queensland,Australia"
3641,port sorell,"Port Sorell,Latrobe,Tasmania,Australia"
3642,port melbourne,"Port Melbourne,Port Phillip,Victoria,Australia"
3643,port macquarie,"Port Macquarie,Port Macquarie-Hastings,New South Wales,Australia"
3644,port kembla,"Port Kembla,Wollongong,New South Wales,Australia"
3645,port fairy,"Port Fairy,Moyne,Victoria,Australia"
3646,port douglas,"Port Douglas,Cairns,Queensland,Australia"
3647,point cook,"Point Cook,Wyndham,Victoria,Australia"
3648,point clare,"Point Clare,Gosford Shire,New South Wales,Australia"
3649,plenty,"Plenty, ,Victoria,Australia"
3650,pitt town,"Pitt Town,Hawkesbury,New South Wales,Australia"
3651,phillip,"Phillip,Tamworth Municipality,New South Wales,Australia"
3652,perthville,"Perthville,Bathurst Regional,New South Wales,Australia"
3653,penshurst,"Penshurst,Hurstville,New South Wales,Australia"
3654,penola,"Penola,Wattle Range,South Australia,Australia"
3655,pennant hills,"Pennant Hills,Hornsby Shire,New South Wales,Australia"
3656,penguin,"Penguin,Central Coast,Tasmania,Australia"
3657,peak hill,"Peak Hill,Parkes,New South Wales,Australia"
3658,pascoe vale,"Pascoe Vale,Moreland,Victoria,Australia"
3659,parkes,"Parkes,Parkes,New South Wales,Australia"
3660,pakenham upper,"Pakenham Upper,Cardinia,Victoria,Australia"
3661,pakenham south,"Pakenham South,Cardinia,Victoria,Australia"
3662,ouyen,"Ouyen,Mildura Shire,Victoria,Australia"
3663,ormond,"Ormond, ,Victoria,Australia"
3664,one mile,"One Mile,Ipswich,Queensland,Australia"
3665,old beach,"Old Beach,Brighton,Tasmania,Australia"
3666,old bar,"Old Bar,Greater Taree,New South Wales,Australia"
3667,officer,"Officer,Cardinia,Victoria,Australia"
3668,oberon,"Oberon,Oberon,New South Wales,Australia"
3669,oatley,"Oatley,Hurstville,New South Wales,Australia"
3670,oakey,"Oakey,Toowoomba,Queensland,Australia"
3671,nyngan,"Nyngan,Bogan,New South Wales,Australia"
3672,nunawading,"Nunawading,Whitehorse,Victoria,Australia"
3673,nowra,"Nowra,Shoalhaven Shire,New South Wales,Australia"
3674,notting hill,"Notting Hill,Monash,Victoria,Australia"
3675,north wonthaggi,"North Wonthaggi,Bass Coast,Victoria,Australia"
