Unnamed: 0,name,mapped_data
12882,geauga county united states,",Geauga County,Ohio,United States"
12883,sandusky county united states,",Sandusky County,Ohio,United States"
12884,trumbull county united states,",Trumbull County,Ohio,United States"
12885,williams county united states,",Williams County,Ohio,United States"
12886,columbiana county united states,",Columbiana County,Ohio,United States"
12887,morrow county united states,",Morrow County,Ohio,United States"
12888,wyandot county united states,",Wyandot County,Ohio,United States"
12889,van wert county united states,",Van Wert County,Ohio,United States"
12890,coshocton county united states,",Coshocton County,Ohio,United States"
12891,auglaize county united states,",Auglaize County,Ohio,United States"
12892,defiance county united states,",Defiance County,Ohio,United States"
12893,tuscarawas county united states,",Tuscarawas County,Ohio,United States"
12894,lehigh county united states,",Lehigh County,Pennsylvania,United States"
12895,beaver county united states,",Beaver County,Pennsylvania,United States"
12896,berks county united states,",Berks County,Pennsylvania,United States"
12897,blair county united states,",Blair County,Pennsylvania,United States"
12898,lebanon county united states,",Lebanon County,Pennsylvania,United States"
12899,armstrong county united states,",Armstrong County,Pennsylvania,United States"
12900,lackawanna county united states,",Lackawanna County,Pennsylvania,United States"
12901,schuylkill county united states,",Schuylkill County,Pennsylvania,United States"
12902,luzerne county united states,",Luzerne County,Pennsylvania,United States"
12903,cambria county united states,",Cambria County,Pennsylvania,United States"
12904,bucks county united states,",Bucks County,Pennsylvania,United States"
12905,centre county united states,",Centre County,Pennsylvania,United States"
12906,mifflin county united states,",Mifflin County,Pennsylvania,United States"
12907,indiana county united states,",Indiana County,Pennsylvania,United States"
12908,mckean county united states,",McKean County,Pennsylvania,United States"
12909,dauphin county united states,",Dauphin County,Pennsylvania,United States"
12910,clarion county united states,",Clarion County,Pennsylvania,United States"
12911,clearfield county united states,",Clearfield County,Pennsylvania,United States"
12912,potter county united states,",Potter County,Pennsylvania,United States"
12913,montour county united states,",Montour County,Pennsylvania,United States"
12914,lycoming county united states,",Lycoming County,Pennsylvania,United States"
12915,susquehanna county united states,",Susquehanna County,Pennsylvania,United States"
12916,venango county united states,",Venango County,Pennsylvania,United States"
12917,snyder county united states,",Snyder County,Pennsylvania,United States"
12918,huntingdon county united states,",Huntingdon County,Pennsylvania,United States"
