,name,mapped_data
346,Espirito Santo Brazil,",,Espirito Santo,Brazil"
347,Minas Gerais Brazil,",,Minas Gerais,Brazil"
348,Goias Brazil,",,Goias,Brazil"
349,Rio Grande do Sul Brazil,",,Rio Grande do Sul,Brazil"
350,Parana Brazil,",,Parana,Brazil"
351,Mato Grosso Brazil,",,Mato Grosso,Brazil"
352,Mato Grosso do Sul Brazil,",,Mato Grosso do Sul,Brazil"
353,Federal District Brazil,",,Federal District,Brazil"
354,Acre Brazil,",,Acre,Brazil"
355,Rondonia Brazil,",,Rondonia,Brazil"
356,Roraima Brazil,",,Roraima,Brazil"
357,West Grand Bahama Bahamas,",,West Grand Bahama,Bahamas"
358,Spanish Wells Bahamas,",,Spanish Wells,Bahamas"
359,North Andros Bahamas,",,North Andros,Bahamas"
360,Rum Cay Bahamas,",,Rum Cay,Bahamas"
361,New Providence Bahamas,",,New Providence,Bahamas"
362,Inagua Bahamas,",,Inagua,Bahamas"
363,Acklins Bahamas,",,Acklins,Bahamas"
364,Central Abaco Bahamas,",,Central Abaco,Bahamas"
365,Freeport Bahamas,",,Freeport,Bahamas"
366,East Grand Bahama Bahamas,",,East Grand Bahama,Bahamas"
367,Moore's Island Bahamas,",,Moore's Island,Bahamas"
368,Central Eleuthera Bahamas,",,Central Eleuthera,Bahamas"
369,Exuma Bahamas,",,Exuma,Bahamas"
370,Harbour Island Bahamas,",,Harbour Island,Bahamas"
371,Ragged Island Bahamas,",,Ragged Island,Bahamas"
372,North Abaco Bahamas,",,North Abaco,Bahamas"
373,Crooked Island and Long Cay Bahamas,",,Crooked Island and Long Cay,Bahamas"
374,San Salvador Bahamas,",,San Salvador,Bahamas"
375,Long Island Bahamas,",,Long Island,Bahamas"
376,Black Point Bahamas,",,Black Point,Bahamas"
377,Cat Island Bahamas,",,Cat Island,Bahamas"
378,Bimini Bahamas,",,Bimini,Bahamas"
379,Mayaguana Bahamas,",,Mayaguana,Bahamas"
380,Wangdi Phodrang Bhutan,",,Wangdi Phodrang,Bhutan"
381,Tongsa Bhutan,",,Tongsa,Bhutan"
382,Thimphu Bhutan,",,Thimphu,Bhutan"
383,Trashi Yangste Bhutan,",,Trashi Yangste,Bhutan"
384,Tashigang Bhutan,",,Tashigang,Bhutan"
385,Daga Bhutan,",,Daga,Bhutan"
386,Shemgang Bhutan,",,Shemgang,Bhutan"
387,Geylegphug Bhutan,",,Geylegphug,Bhutan"
388,Punakha Bhutan,",,Punakha,Bhutan"
389,Chhukha Bhutan,",,Chhukha,Bhutan"
390,Paro Bhutan,",,Paro,Bhutan"
391,Mongar Bhutan,",,Mongar,Bhutan"
392,Lhuntshi Bhutan,",,Lhuntshi,Bhutan"
393,Ha Bhutan,",,Ha,Bhutan"
394,Gasa Bhutan,",,Gasa,Bhutan"
395,Chirang Bhutan,",,Chirang,Bhutan"
396,Bumthang Bhutan,",,Bumthang,Bhutan"
