,name,mapped_data
271,Kyustendil,",,Kyustendil,Bulgaria"
272,Sofia-Capital,",,Sofia-Capital,Bulgaria"
273,Pleven,",,Pleven,Bulgaria"
274,Kurdzhali,",,Kurdzhali,Bulgaria"
275,Northern,",,Northern,Bahrain"
276,Manama,",,Manama,Bahrain"
277,Central Governorate,",,Central Governorate,Bahrain"
278,Muharraq,",,Muharraq,Bahrain"
279,Makamba,",,Makamba,Burundi"
280,Bururi,",,Bururi,Burundi"
281,Mwaro,",,Mwaro,Burundi"
282,Bujumbura Mairie,",,Bujumbura Mairie,Burundi"
283,Muramvya,",,Muramvya,Burundi"
284,Gitega,",,Gitega,Burundi"
285,Ruyigi,",,Ruyigi,Burundi"
286,Cankuzo,",,Cankuzo,Burundi"
287,Karuzi,",,Karuzi,Burundi"
288,Bubanza,",,Bubanza,Burundi"
289,Cibitoke,",,Cibitoke,Burundi"
290,Ngozi,",,Ngozi,Burundi"
291,Kayanza,",,Kayanza,Burundi"
292,Muyinga,",,Muyinga,Burundi"
293,Kirundo,",,Kirundo,Burundi"
294,Rutana,",,Rutana,Burundi"
295,Borgou,",,Borgou,Benin"
296,Atakora,",,Atakora,Benin"
297,Collines,",,Collines,Benin"
298,Plateau,",,Plateau,Benin"
299,Queme,",,Queme,Benin"
300,Atlantique,",,Atlantique,Benin"
301,Mono,",,Mono,Benin"
302,Alibori,",,Alibori,Benin"
303,Kouffo,",,Kouffo,Benin"
304,Donga,",,Donga,Benin"
305,Zou,",,Zou,Benin"
306,Littoral,",,Littoral,Benin"
307,Tutong,",,Tutong,Brunei Darussalam"
308,Belait,",,Belait,Brunei Darussalam"
309,Temburong,",,Temburong,Brunei Darussalam"
310,Brunei and Muara,",,Brunei and Muara,Brunei Darussalam"
311,Pando,",,Pando,Bolivia"
312,Chuquisaca,",,Chuquisaca,Bolivia"
313,Tarija,",,Tarija,Bolivia"
314,La Paz,",,La Paz,Bolivia"
315,Potosi,",,Potosi,Bolivia"
316,El Beni,",,El Beni,Bolivia"
317,Oruro,",,Oruro,Bolivia"
318,Cochabamba,",,Cochabamba,Bolivia"
319,Saba,",,Saba, "
320,Sint Eustatius,",,Sint Eustatius, "
321,Bonaire,",,Bonaire, "
322,Maranhao,",,Maranhao,Brazil"
323,Pernambuco,",,Pernambuco,Brazil"
324,Para,",,Para,Brazil"
325,Paraiba,",,Paraiba,Brazil"
326,Ceara,",,Ceara,Brazil"
